127.0.0.1 - - [09/Dec/2022:14:01:53 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:02:11 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 41251
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:02:15 +0900] "GET /MustHaveJSP/08Board/View.jsp?num=81 HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:02:17 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 41251
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:02:22 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:02:26 +0900] "POST /MustHaveJSP/06Session/LoginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:02:26 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:02:28 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 41251
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:02:32 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:02:34 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 41251
0:0:0:0:0:0:0:1 - - [09/Dec/2022:14:06:50 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 41282
